ID,Density(g/cm^3),smiles
ABAGIV,1.2959,C/C(=N\Nc1ccccc1C)/c1cccc(c1)[N+](=O)[O-]
ABENAX,1.6917,COC(=O)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-]
ABENUQ,1.5644,OC[C@H]1O[C@@H]([C@H]([C@@H]1O)O)n1ccnc1[N+](=O)[O-]
ACALAR,1.4391,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1ccccc1
ACALEV,1.3111,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1c(C)cccc1C
ACALIZ,1.2395,CCc1cccc(c1NC(=O)c1ccc(cc1)[N+](=O)[O-])CC
ACALUL,1.3151,O=C(c1ccc(cc1)C(C)(C)C)Nc1ccc(cc1)[N+](=O)[O-]
ACANOH,1.4477,O=C(c1ccncc1)NCCO[N+](=O)[O-]
ACEMUR,1.5967,[O-][N+](=O)c1cc(ccc1N/N=C/c1ccc2c(c1)OCO2)[N+](=O)[O-]
ACENIH,1.5864,CC(=O)OCN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])COC(=O)C
ACERIK,1.5033,[O-][N+](=O)c1ccc(cc1)N/N=C/c1ccccc1[N+](=O)[O-]
ACIDAR,1.4789,[O-][N+](=O)c1ccccc1N/N=C/1\C=CC(=O)c2c1cccc2
ACISAI01,1.5065,[O-][N+](=O)c1cnn(c1)Cc1ccc(cc1)Cn1ncc(c1)[N+](=O)[O-]
ACOWIY,1.6435,[O-][N+](=O)C1(CNC1)[N+](=O)[O-]
ACOWOE,1.6778,O=CN1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
ACOWUK,1.7324,O=C(N1CC(C1)([N+](=O)[O-])[N+](=O)[O-])N1CC(C1)([N+](=O)[O-])[N+](=O)[O-]
ADAVIL,1.3066,CCOc1ccc(cc1)/N=C/C=C/c1ccccc1[N+](=O)[O-]
ADEWEM,1.549,C/C(=N\Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])/c1ccccc1
ADIDUN,1.4203,CCc1nn(c(c1[N+](=O)[O-])C(=O)n1cnc2c1cccc2)C
ADOLEK,1.3936,[O-][N+](=O)c1cc(ccc1NN=C1CCCCCCC1)[N+](=O)[O-]
ADOMAK,1.4204,O=C(N1CCc2c1ccc(c2)[N+](=O)[O-])c1ccccc1
AFAZUD,1.4606,[O-][N+](=O)[C@]12C[C@@H]3[C@](C1)(C[C@H]2C3)[N+](=O)[O-]
AFEXEP,1.3835,CCC(=O)Nc1ccc(cc1)[N+](=O)[O-]
AFONOA,1.4217,Nc1ccc(cc1/N=C/c1ccncc1)[N+](=O)[O-]
AFOPUI,1.4698,Oc1ccc(cc1/C=N/c1cccc(c1C)[N+](=O)[O-])[N+](=O)[O-]
AFOVUP,1.3511,CN(c1ccc(cc1)[N+](=O)[O-])C
AGAXUD,1.3499,[O-][N+](=O)c1ccc(cc1)Cc1ccncc1
