ID,DetoQ(J/g),SMILES,,,,,,,,,,DetoQ
ABAGIV,1908,C/C(=N\Nc1ccccc1C)/c1cccc(c1)[N+](=O)[O-],,,,,,,,,,1.908
ABENAX,3725,COC(=O)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.725
ABENUQ,2928,OC[C@H]1O[C@@H]([C@H]([C@@H]1O)O)n1ccnc1[N+](=O)[O-],,,,,,,,,,2.928
ACALAR,2159,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1ccccc1,,,,,,,,,,2.159
ACALEV,1555,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1c(C)cccc1C,,,,,,,,,,1.555
ACALIZ,1163,CCc1cccc(c1NC(=O)c1ccc(cc1)[N+](=O)[O-])CC,,,,,,,,,,1.163
ACALUL,1122,O=C(c1ccc(cc1)C(C)(C)C)Nc1ccc(cc1)[N+](=O)[O-],,,,,,,,,,1.122
ACANOH,3212,O=C(c1ccncc1)NCCO[N+](=O)[O-],,,,,,,,,,3.212
ACEMUR,3780,[O-][N+](=O)c1cc(ccc1N/N=C/c1ccc2c(c1)OCO2)[N+](=O)[O-],,,,,,,,,,3.78
ACENIH,4014,CC(=O)OCN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])COC(=O)C,,,,,,,,,,4.014
ACERIK,3752,[O-][N+](=O)c1ccc(cc1)N/N=C/c1ccccc1[N+](=O)[O-],,,,,,,,,,3.752
ACIDAR,2630,[O-][N+](=O)c1ccccc1N/N=C/1\C=CC(=O)c2c1cccc2,,,,,,,,,,2.63
ACISAI01,3421,[O-][N+](=O)c1cnn(c1)Cc1ccc(cc1)Cn1ncc(c1)[N+](=O)[O-],,,,,,,,,,3.421
ACOWIY,6120,[O-][N+](=O)C1(CNC1)[N+](=O)[O-],,,,,,,,,,6.12
ACOWOE,5248,O=CN1CC(C1)([N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,5.248
ACOWUK,5531,O=C(N1CC(C1)([N+](=O)[O-])[N+](=O)[O-])N1CC(C1)([N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,5.531
ADAVIL,2075,CCOc1ccc(cc1)/N=C/C=C/c1ccccc1[N+](=O)[O-],,,,,,,,,,2.075
ADEWEM,4335,C/C(=N\Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])/c1ccccc1,,,,,,,,,,4.335
ADIDUN,2112,CCc1nn(c(c1[N+](=O)[O-])C(=O)n1cnc2c1cccc2)C,,,,,,,,,,2.112
ADOLEK,2781,[O-][N+](=O)c1cc(ccc1NN=C1CCCCCCC1)[N+](=O)[O-],,,,,,,,,,2.781
ADOMAK,1917,O=C(N1CCc2c1ccc(c2)[N+](=O)[O-])c1ccccc1,,,,,,,,,,1.917
AFAZUD,4229,[O-][N+](=O)[C@]12C[C@@H]3[C@](C1)(C[C@H]2C3)[N+](=O)[O-],,,,,,,,,,4.229
AFEXEP,2044,CCC(=O)Nc1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.044
AFONOA,2415,Nc1ccc(cc1/N=C/c1ccncc1)[N+](=O)[O-],,,,,,,,,,2.415
AFOPUI,3299,Oc1ccc(cc1/C=N/c1cccc(c1C)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.299
AFOVUP,2465,CN(c1ccc(cc1)[N+](=O)[O-])C,,,,,,,,,,2.465
AGAXUD,2271,[O-][N+](=O)c1ccc(cc1)Cc1ccncc1,,,,,,,,,,2.271
AGIXUM,4254,O=[N+]1O[N-]C(=C1[C@H](c1cccc(c1)[N+](=O)[O-])C)c1cccc(c1)[N+](=O)[O-],,,,,,,,,,4.254
AGUNUN,2200,CCO[C@@H](n1ncc2c1cccc2[N+](=O)[O-])C,,,,,,,,,,2.2
AHADOE,2618,COc1cccc(c1)[C@@H](C/C(=c\1/cccc[n+]1=O)/[O-])C[N+](=O)[O-],,,,,,,,,,2.618
AHIDAY,2159,Oc1ccccc1/C=N/N(c1ccccc1[N+](=O)[O-])c1ccccc1,,,,,,,,,,2.159
AKEDUR,2575,Oc1ccccc1C(=O)c1cn(C)c(=O)c(c1)[N+](=O)[O-],,,,,,,,,,2.575
AKUPIG,2022,[O-][N+](=O)C([C@H]1OC(=N)c2c1cccc2)(C)C,,,,,,,,,,2.022
AKUPUS,2225,OC[C@@H]([C@@H]1NC(=O)c2c1cccc2)[N+](=O)[O-],,,,,,,,,,2.225
AMNBOZ,2401,CC(=O)N1OCCc2c([C@H]1C)cc(cc2)[N+](=O)[O-],,,,,,,,,,2.401
AMNIFL,1915,Nc1ccc2c(c1)Cc1c2ccc(c1)[N+](=O)[O-],,,,,,,,,,1.915
AMNPHA,3045,[O-][N+](=O)c1ccc(c(c1)O)N,,,,,,,,,,3.045
AMNTPY,3396,[O-][N+](=O)c1cccnc1N,,,,,,,,,,3.396
ANOQUR,2090,N#C[C@H](c1ccccc1[N+](=O)[O-])CC1=CCCCC1=O,,,,,,,,,,2.09
ANTZCO,3515,[O-][N+](=O)N1CN(CN(CN(C1)C(=O)C)[N+](=O)[O-])C(=O)C,,,,,,,,,,3.515
AOMOQU,2768,COc1cc([N+](=O)[O-])c2c(c1OC(=O)C)cccn2,,,,,,,,,,2.768
AREJEO,2943,O/N=C/1\[C@@H](CCc2c1cccc2)[N+](=O)[O-],,,,,,,,,,2.943
ARIFUD,2375,OCCCn1c(C)ncc1[N+](=O)[O-],,,,,,,,,,2.375
ATOPOP,1764,Cc1cccc(c1/N=C/c1ccc(cc1)[N+](=O)[O-])C,,,,,,,,,,1.764
ATUJIK,3166,[O-][N+](=O)c1ccc(c2c1non2)NCCN1CCOCC1,,,,,,,,,,3.166
AVALEQ,2366,O=C1C=CN2[C@@H]([C@H]1C)C=Cc1c2cccc1[N+](=O)[O-],,,,,,,,,,2.366
AWUJIM,2477,COc1ccc(cc1)/C=N/NC(=O)c1cccc(c1)[N+](=O)[O-],,,,,,,,,,2.477
AWULAG,2482,COc1ccccc1/C=N/NC(=O)c1cccc(c1)[N+](=O)[O-],,,,,,,,,,2.482
AXAFIP,2039,O=C1Nc2cccc(c2C(=O)N2[C@@H]1CCC2)[N+](=O)[O-],,,,,,,,,,2.039
AYALOC,6429,[O-][N+](=O)OC[C@]12[C@H]3[C@H]4[C@@H]2[C@H]2[C@@H]1[C@@H]3[C@@]42CO[N+](=O)[O-],,,,,,,,,,6.429
AYAMIX,1772,C=CCn1c(/C=C/C=C/N(C)C)nc2c1cc(cc2)[N+](=O)[O-],,,,,,,,,,1.772
AYECEM,2330,[O-][N+](=O)c1c(C(=O)N2CCOC2=O)n(nc1CC)C,,,,,,,,,,2.33
AYUGUX01,2045,Cc1ccc(cc1)/N=C/c1cc(ccc1O)[N+](=O)[O-],,,,,,,,,,2.045
AZAGAJ,3058,[O-][N+](=O)c1cc(ccc1N/N=C/1\C[C@H]2C[C@@H]1c1c2cccc1)[N+](=O)[O-],,,,,,,,,,3.058
AZAXEG,3297,O=C1NC(=O)N(C1)/N=C/c1ccc(o1)[N+](=O)[O-],,,,,,,,,,3.297
AZILOM01,3234,O=C(c1ccco1)N/N=C/c1ccccc1[N+](=O)[O-],,,,,,,,,,3.234
AZIWUD,1590,O=C(/N=C/1\NCCN1c1ccc(cc1)[N+](=O)[O-])Nc1ccccc1,,,,,,,,,,1.59
AZORUD,1836,[O-][N+](=O)c1ccc(cc1)/N=C/c1c2ccccc2cc2c1cccc2,,,,,,,,,,1.836
BABBUB,3725,[O-][N+](=O)N=C1NCCN1,,,,,,,,,,3.725
BABRIF,5420,[O-][N+](=O)C1=C([N-]O[N+]1=O)c1ccccc1,,,,,,,,,,5.42
BAFGUL01,3713,[O-][N+](=O)c1cc(ccc1N/N=C/c1ccccc1O)[N+](=O)[O-],,,,,,,,,,3.713
BAFHAS,3731,Oc1cccc(c1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.731
BAFHEW,3719,Oc1ccc(cc1)/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.719
BAJBUJ,2071,COC(=O)C1(NC(=O)c2c1c1ccccc1c(c2)[N+](=O)[O-])C(=O)OC,,,,,,,,,,2.071
BAKLII,4760,[O-][N+](=O)c1c(N)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])O,,,,,,,,,,4.76
BAKXOB,4737,[O-][N+](=O)c1cc(cc2c1c1c(C2)cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.737
BALYAR,2435,C/C(=N\Nc1ccc(cc1)[N+](=O)[O-])/c1c(O)cc(oc1=O)C,,,,,,,,,,2.435
BANFIG,3254,NNC(=O)c1cccc(c1)[N+](=O)[O-],,,,,,,,,,3.254
BANHOO01,2475,COc1ccc(cc1)/C=C(/c1ccc(cc1)[N+](=O)[O-])\C#N,,,,,,,,,,2.475
BAPXIB,2369,COC(=O)[C@H]1C[C@H](N([C@H]1c1ccc(cc1)[N+](=O)[O-])O)C(=O)OC,,,,,,,,,,2.369
BAQLUD,4010,[O-][N+](=O)c1cc(ccc1C(=O)O)[N+](=O)[O-],,,,,,,,,,4.01
BASCAC,2863,[O-][N+](=O)c1ccc(o1)c1ncncc1c1ccccc1,,,,,,,,,,2.863
BATGIN,2678,OC[C@H]1O[C@H]([C@@H]([C@H]([C@@H]1O)O)O)n1cncc1[N+](=O)[O-],,,,,,,,,,2.678
BAVTAT,2293,COc1ccccc1[C@H]1C(=C(N)Oc2c1c(=O)oc(c2)C)[N+](=O)[O-],,,,,,,,,,2.293
BAYXIJ,3532,COC(=O)C(=O)Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.532
BAZPIC,2202,CN(c1ccc(cc1N)[N+](=O)[O-])C,,,,,,,,,,2.202
BAZPOI,2228,CN(c1ccc(c(c1)N)[N+](=O)[O-])C,,,,,,,,,,2.228
BAZPUO,2628,COc1cc(ccc1[N+](=O)[O-])N(C)C,,,,,,,,,,2.628
BCBDNT,5437,[O-][N+](=O)O[C@@H]1[C@H](O[N+](=O)[O-])c2c1cccc2,,,,,,,,,,5.437
BCONBZ10,2921,O=C(c1cc(cc(c1)[N+](=O)[O-])[N+](=O)[O-])O[C@]12CCCC[C@H]2CC1,,,,,,,,,,2.921
BEBVUZ,1928,[O-][N+](=O)c1cccc2c1C=C/C/2=C\N1CCCC1,,,,,,,,,,1.928
BEDROT,3071,O=C1CN(C(=O)CN1c1ccccc1[N+](=O)[O-])c1ccccc1[N+](=O)[O-],,,,,,,,,,3.071
BEDWOX01,2917,O=C1C=CC(=O)N1c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.917
BEKDAW,3170,CCOC(=O)[C@@]1(C#N)[C@@H](C1(C#N)C#N)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,3.17
BELMOU,3081,O=C1CC/[N+](=C/c2ccc(cc2)[N+](=O)[O-])/[N-]1,,,,,,,,,,3.081
BENVEW,3726,OC[C@@](C([N+](=O)[O-])(C)C)([N+](=O)[O-])C,,,,,,,,,,3.726
BEPQET,2013,[O-][N+](=O)c1ccc(cc1)N1C[C@H]2[C@@]3(C1=CC(=O)c1c3cccc1)C2,,,,,,,,,,2.013
BEQTUP,2294,O=C(N1CCC=C1)OCc1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.294
BETVUR,1318,[O-][N+](=O)c1ccc(cc1)[C@@H]1NC[C@H]2[C@@H](O1)CCCC2,,,,,,,,,,1.318
BETWAY,1350,[O-][N+](=O)c1ccc(cc1)[C@@H]1OC[C@H]2[C@@H](N1)CCCC2,,,,,,,,,,1.35
BEXWEI,1963,O=C(Cn1cc(nc1C)[N+](=O)[O-])N/N=C(/c1ccccc1)\C,,,,,,,,,,1.963
BEYZEK,3600,O=C1c2cc(ccc2c2c1cc(cc2)[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.6
BICNUW,3697,CCOC(=O)/C(=C/c1ccc(cc1)[N+](=O)[O-])/[N+](=O)[O-],,,,,,,,,,3.697
BICWEP,4388,[O-][N+](=O)c1c(C(=O)N)c([N+](=O)[O-])c(c(c1N)[N+](=O)[O-])N,,,,,,,,,,4.388
BIHVIY,3238,COc1ccc(cc1)/C=C/c1c(cc(cc1[N+](=O)[O-])C(=O)OC)[N+](=O)[O-],,,,,,,,,,3.238
BIHVOE,4576,[O-][N+](=O)c1cc(ccc1OCCOc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.576
BIHVUK,2496,COc1ccc(cc1OC)/C=N/Nc1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.496
BIKKUE,1976,[O-][N+](=O)/C=C(/C(=O)c1ccc(cc1)C)\Nc1ccccc1,,,,,,,,,,1.976
BILMAM,2097,CNC1=C([N+](=O)[O-])[C@@H](C(=C(O1)c1ccccc1)C#N)c1ccccc1,,,,,,,,,,2.097
BINROF,4854,[O-][N+](=O)c1cc(ccc1/C=N/Nc1nnn[nH]1)[N+](=O)[O-],,,,,,,,,,4.854
BINSAS,6433,[O-][N+](=O)c1c2[N-]O[N+](=O)c2c2c(c1N)[N+](=O)O[N-]2,,,,,,,,,,6.433
BINSUM,5669,O=C(C(=O)NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-])NCC([N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,5.669
BIPGOZ,3275,[O-][N+](=O)[C@@]1(CCCCC1=O)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,3.275
BIPJUF,4010,[O-][N+](=O)c1cc(ccc1C(=O)O)[N+](=O)[O-],,,,,,,,,,4.01
BIVKUM,3011,[O-][N+](=O)c1ccc(cc1)N/N=C/1\C[C@@H]2[C@H]1C[C@H]1[C@@H]2O1,,,,,,,,,,3.011
BIVQAB,2244,O=Cc1ccc(c2c1ccc(c2)[N+](=O)[O-])N(C)C,,,,,,,,,,2.244
BIVVOU,2055,C=C[C@]1(C)Oc2ccccc2C(=O)N1c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.055
BIXCOD,3221,O/N=C(/C(=N/N=C/c1ccc(cc1)[N+](=O)[O-])/C)\C,,,,,,,,,,3.221
BIXCUJ,3219,O/N=C(/C(=N/N=C/c1cccc(c1)[N+](=O)[O-])/C)\C,,,,,,,,,,3.219
BOBMAG01,3696,[O-][N+](=O)c1ccc(cc1)N(c1ccc(cc1)[N+](=O)[O-])c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,3.696
BOCPIS,3448,COc1cc([N+](=O)[O-])c(c(c1)[N+](=O)[O-])C(C)(C)C,,,,,,,,,,3.448
BOCROA,2110,O=C1CC(C)(C)CC(=O)C1=NNc1ccc(cc1)[N+](=O)[O-],,,,,,,,,,2.11
BOCYOI,3421,O=NN(c1ccccc1)c1ccc(cc1)[N+](=O)[O-],,,,,,,,,,3.421
BOGSIA,4172,C/C=C/C=N/Nc1ccc(cc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.172
BOJDOU,2458,COc1ccccc1N/C=C\1/C=C(C=CC1=O)[N+](=O)[O-],,,,,,,,,,2.458
BOLPEX,3220,O=C1c2c(ccc(c2C(=O)c2c1c(ccc2O)[N+](=O)[O-])O)[N+](=O)[O-],,,,,,,,,,3.22
BOMHAM,2785,Cc1nc2cc(ccc2c(=O)o1)[N+](=O)[O-],,,,,,,,,,2.785
BOPQUU,1610,[O-][N+](=O)c1cc2c(CCC(=O)OCC)c[nH]c2cc1,,,,,,,,,,1.61
BOQHEU,3540,Cc1cc(C)c(c(=O)c(c1)C)Oc1ncc(cc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.54
BOQJAS,3190,[O-][N+](=O)c1cc(ccc1n1cc(c(n1)c1ccccc1O)C)[N+](=O)[O-],,,,,,,,,,3.19
BOQWUZ,4610,O=C1O[C@@H]2[C@H](O1)N(CN2[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.61
BORHAS,3059,[O-][N+](=O)c1ccc(o1)/C=N/NC(=O)NCCOC,,,,,,,,,,3.059
BORHIA,2359,O=C(N/N=C/c1ccc(o1)[N+](=O)[O-])NCCc1ccccc1,,,,,,,,,,2.359
BOSVIO,4464,[O-][N+](=O)c1cc2c(=O)[nH]c3c(c2c(c1)[N+](=O)[O-])cc(cc3[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,4.464
BOTLEC,2008,CCOC(=O)/C(=C\[N+](=O)[O-])/c1cn(c2c1cccc2)C,,,,,,,,,,2.008
BOTMUT,3016,O=c1n2CCCCCc2nc2c1cc(cc2[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.016
BOWSIP,2626,CC(=O)/C(=N/Nc1ccc(cc1)[N+](=O)[O-])/C,,,,,,,,,,2.626
BUDKER,3513,COc1cccc(c1c1c(OC)cccc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,3.513
BUDVEC,2912,C/C=C/C=N/Nc1ccccc1[N+](=O)[O-],,,,,,,,,,2.912
BUDVIH,3276,C=C1C(=NO[C@@]1(O)c1ccc(cc1)[N+](=O)[O-])C,,,,,,,,,,3.276
BUFDUC,2285,CCOc1cc(/C=N/Nc2ccccc2[N+](=O)[O-])ccc1O,,,,,,,,,,2.285
BUGKIY,5710,[O-][N+](=O)c1cn(c(n1)[N+](=O)[O-])N,,,,,,,,,,5.71
BUGKOE,6479,[O-][N+](=O)Nn1cc(nc1[N+](=O)[O-])[N+](=O)[O-],,,,,,,,,,6.479
BUNCIW,4939,[O-][N+](=O)C1=C([N+](=O)[O-])[C@@](C)([N+](=O)[O-])C(C(=O)[C@@]1(C)[N+](=O)[O-])(C)C,,,,,,,,,,4.939
