ID,DetoT(K),smiles,DetoT
ABAGIV,1429,C/C(=N\Nc1ccccc1C)/c1cccc(c1)[N+](=O)[O-],1.429
ABENAX,2068,COC(=O)c1cc(cc(c1O)[N+](=O)[O-])[N+](=O)[O-],2.068
ABENUQ,1940,OC[C@H]1O[C@@H]([C@H]([C@@H]1O)O)n1ccnc1[N+](=O)[O-],1.94
ACALAR,1199,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1ccccc1,1.199
ACALEV,1031,O=C(c1ccc(cc1)[N+](=O)[O-])Nc1c(C)cccc1C,1.031
ACALIZ,873,CCc1cccc(c1NC(=O)c1ccc(cc1)[N+](=O)[O-])CC,0.873
ACALUL,843,O=C(c1ccc(cc1)C(C)(C)C)Nc1ccc(cc1)[N+](=O)[O-],0.843
ACANOH,2045,O=C(c1ccncc1)NCCO[N+](=O)[O-],2.045
ACEMUR,1924,[O-][N+](=O)c1cc(ccc1N/N=C/c1ccc2c(c1)OCO2)[N+](=O)[O-],1.924
ACENIH,2920,CC(=O)OCN([N+](=O)[O-])CN([N+](=O)[O-])CN([N+](=O)[O-])COC(=O)C,2.92
ACERIK,2056,[O-][N+](=O)c1ccc(cc1)N/N=C/c1ccccc1[N+](=O)[O-],2.056
ACIDAR,1407,[O-][N+](=O)c1ccccc1N/N=C/1\C=CC(=O)c2c1cccc2,1.407
ACISAI01,2102,[O-][N+](=O)c1cnn(c1)Cc1ccc(cc1)Cn1ncc(c1)[N+](=O)[O-],2.102
ACOWIY,4429,[O-][N+](=O)C1(CNC1)[N+](=O)[O-],4.429
ACOWOE,3526,O=CN1CC(C1)([N+](=O)[O-])[N+](=O)[O-],3.526
ACOWUK,3678,O=C(N1CC(C1)([N+](=O)[O-])[N+](=O)[O-])N1CC(C1)([N+](=O)[O-])[N+](=O)[O-],3.678
ADAVIL,1412,CCOc1ccc(cc1)/N=C/C=C/c1ccccc1[N+](=O)[O-],1.412
ADEWEM,2321,C/C(=N\Nc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])/c1ccccc1,2.321
ADIDUN,1424,CCc1nn(c(c1[N+](=O)[O-])C(=O)n1cnc2c1cccc2)C,1.424
ADOLEK,2239,[O-][N+](=O)c1cc(ccc1NN=C1CCCCCCC1)[N+](=O)[O-],2.239
ADOMAK,1121,O=C(N1CCc2c1ccc(c2)[N+](=O)[O-])c1ccccc1,1.121
AFAZUD,2870,[O-][N+](=O)[C@]12C[C@@H]3[C@](C1)(C[C@H]2C3)[N+](=O)[O-],2.87
AFEXEP,1416,CCC(=O)Nc1ccc(cc1)[N+](=O)[O-],1.416
AFONOA,1564,Nc1ccc(cc1/N=C/c1ccncc1)[N+](=O)[O-],1.564
AFOPUI,1718,Oc1ccc(cc1/C=N/c1cccc(c1C)[N+](=O)[O-])[N+](=O)[O-],1.718
AFOVUP,1995,CN(c1ccc(cc1)[N+](=O)[O-])C,1.995
AGAXUD,1425,[O-][N+](=O)c1ccc(cc1)Cc1ccncc1,1.425
AGIXUM,2141,O=[N+]1O[N-]C(=C1[C@H](c1cccc(c1)[N+](=O)[O-])C)c1cccc(c1)[N+](=O)[O-],2.141
AGUNUN,1677,CCO[C@@H](n1ncc2c1cccc2[N+](=O)[O-])C,1.677
AHADOE,1669,COc1cccc(c1)[C@@H](C/C(=c\1/cccc[n+]1=O)/[O-])C[N+](=O)[O-],1.669
AHIDAY,1306,Oc1ccccc1/C=N/N(c1ccccc1[N+](=O)[O-])c1ccccc1,1.306
AKEDUR,1262,Oc1ccccc1C(=O)c1cn(C)c(=O)c(c1)[N+](=O)[O-],1.262
AKUPIG,1440,[O-][N+](=O)C([C@H]1OC(=N)c2c1cccc2)(C)C,1.44
